rank,wallet_address,username,score,win_rate,wins,losses,unique_markets,pnl_all,pnl_month,pnl_week,volume_all,pnl_vol_ratio,portfolio_value,open_positions,closed_positions,avg_position_value,concentration_pct,leaderboard_rank,polymarket_profile_url
30,0x68469ab9009f2783e243a1d0957f4cdd8939b797,jokerfucker,75,84.38,27,5,33,353458.24,0,0,1934121.93,0.1827,0.09,1,32,0.0,0,350,https://polymarket.com/profile/0x68469ab9009f2783e243a1d0957f4cdd8939b797
31,0x588c313ff437c8ef19b9fc47195d9d7cefc8698a,DefaultUser,75,86.0,43,7,50,139803.22,0,0,873802.03,0.16,0.0,1,50,0.0,0,845,https://polymarket.com/profile/0x588c313ff437c8ef19b9fc47195d9d7cefc8698a
32,0x49adba6092a3288ef0ae2e5d5d1e77e69331f71a,ketman,75,54.55,6,5,17,160189.53,29002.43,17514.74,1317222.17,0.1216,549032.5,6,11,91505.41,71.53,762,https://polymarket.com/profile/0x49adba6092a3288ef0ae2e5d5d1e77e69331f71a
33,0xc1c9269e2fb298be48a6842eb4c1a3b5f3b696d9,VerticalBar,75,84.0,42,8,67,229831.77,0,0,1988707.7,0.1156,0.0,17,50,0.0,0,542,https://polymarket.com/profile/0xc1c9269e2fb298be48a6842eb4c1a3b5f3b696d9
34,0x6b88b6a431c5ec9b3afdb76e69393d0404909856,sweetspea,74.72,77.78,7,2,11,365183.3,0,0,1709339.26,0.2136,0.0,2,9,0.0,0,336,https://polymarket.com/profile/0x6b88b6a431c5ec9b3afdb76e69393d0404909856
35,0xb96903067a7129d14931c5a7e82b1a7c8a3c66a1,0xB96903067A7129D14931c5A7E82B1A7c8A3c66a1-1770840142269,74.5,62.0,31,19,45,115207.62,0,0,459082.68,0.251,0.0,0,50,0,0,999,https://polymarket.com/profile/0xb96903067a7129d14931c5a7e82b1a7c8a3c66a1
36,0xbcd6358b674834ec8101c238ec0d52540f0c0790,inducedchance,74.17,66.67,4,2,11,376951.62,0,0,1541695.52,0.2445,140.0,5,6,28.0,71.43,330,https://polymarket.com/profile/0xbcd6358b674834ec8101c238ec0d52540f0c0790
37,0xd830027529b0baca2a52fd8a4dee43d366a9a592,LDSIADAS,74.02,56.52,13,10,19,248778.01,0,0,674930.1,0.3686,0.0,1,23,0.0,0,490,https://polymarket.com/profile/0xd830027529b0baca2a52fd8a4dee43d366a9a592
38,0xd2c5d404493dc772fde0990a61e64ef1120079a0,row888,73.34,88.89,8,1,13,1081892.3,0,0,6660654.13,0.1624,0.0,5,9,0.0,0,86,https://polymarket.com/profile/0xd2c5d404493dc772fde0990a61e64ef1120079a0
39,0x8c80d213c0cbad777d06ee3f58f6ca4bc03102c3,SecondWindCapital,73.04,79.17,19,5,50,1648794.8,562932.2,563536.43,10295465.41,0.1601,306307.35,28,24,10939.55,83.24,54,https://polymarket.com/profile/0x8c80d213c0cbad777d06ee3f58f6ca4bc03102c3
40,0x48ae93e59028f2c67e7535573b7359642f3a85c4,Noob12345,72.5,60.0,9,6,15,305848.45,0,0,1323080.49,0.2312,0.01,0,15,0,0,405,https://polymarket.com/profile/0x48ae93e59028f2c67e7535573b7359642f3a85c4
41,0x6777c03076a270c98357aa45731ce674e999a516,sdgfw3hdf,72.0,62.5,5,3,8,119620.34,0,0,1047841.34,0.1142,0.0,0,8,0,0,966,https://polymarket.com/profile/0x6777c03076a270c98357aa45731ce674e999a516
42,0xf1ffa0a8bc7cdeb0240027e623b026ced4d0e56a,0x2E9821a4234AG3,71.54,85.71,30,5,64,653339.61,0,0,7033858.6,0.0929,0.02,32,35,0.0,0,176,https://polymarket.com/profile/0xf1ffa0a8bc7cdeb0240027e623b026ced4d0e56a
43,0x4c9df37296cbf4399cad2283d3f3b8ef7e1668dc,0x4c9dF37296cbf4399CaD2283D3F3b8ef7E1668Dc-1738251871217,71.2,58.7,27,19,41,232818.08,0,0,2066775.82,0.1126,0.07,0,46,0,0,530,https://polymarket.com/profile/0x4c9df37296cbf4399cad2283d3f3b8ef7e1668dc
44,0x008bf350637ce1ea308b3622a0d44116f9f3b476,PollsR4Dummies,71.14,63.64,21,12,37,236352.14,0,0,1818550.95,0.13,19738.68,5,33,3947.72,90.62,521,https://polymarket.com/profile/0x008bf350637ce1ea308b3622a0d44116f9f3b476
45,0x15cb42216b270d1b2e6326b4c1c25045ad90e25f,xoxo2027,70.5,83.33,5,1,7,120785.0,0,0,609194.35,0.1983,0.04,1,6,0.0,0,959,https://polymarket.com/profile/0x15cb42216b270d1b2e6326b4c1c25045ad90e25f
46,0x7780e9f103f370a7a0351217501d99da178503ed,kindlydelta,70,81.82,9,2,11,119689.72,0,0,216663.19,0.5524,0.0,0,11,0,0,965,https://polymarket.com/profile/0x7780e9f103f370a7a0351217501d99da178503ed
47,0x19f19dd8ee1f7e5f6ec666987e2963a65971a9c6,RetamzZ,70,86.11,31,5,36,131432.66,0,0,549511.46,0.2392,0.0,0,36,0,0,891,https://polymarket.com/profile/0x19f19dd8ee1f7e5f6ec666987e2963a65971a9c6
48,0x4460bf2c0aa59db412a6493c2c08970797b62970,Bidou28old,70,86.0,43,7,49,116280.6,0,0,603497.11,0.1927,0.0,0,50,0,0,989,https://polymarket.com/profile/0x4460bf2c0aa59db412a6493c2c08970797b62970
49,0xce41369f5db6f155fb6d2ae31f6d57052904fa02,Gambler2026,70,88.57,31,4,33,307601.09,0,0,2163800.75,0.1422,0.1,0,35,0,0,401,https://polymarket.com/profile/0xce41369f5db6f155fb6d2ae31f6d57052904fa02
50,0x8e5c0cc55cda93d6cae14becb3b738a44dcaa68a,cocos228,69.98,65.71,23,12,36,524158.92,0,0,5924730.67,0.0885,76456.13,1,35,76456.1,100.0,235,https://polymarket.com/profile/0x8e5c0cc55cda93d6cae14becb3b738a44dcaa68a
51,0x1caa6a7ad0c6916aef7b67946de2e57ad24846a0,0x1caA6a7ad0c6916aeF7b67946De2e57Ad24846a0-1772054568088,69.17,66.67,2,1,4,494374.62,0,0,1413816.31,0.3497,0.0,1,3,0.0,0,248,https://polymarket.com/profile/0x1caa6a7ad0c6916aef7b67946de2e57ad24846a0
52,0x7dc64a570c7b76831cf25e31c526f2337a050fa2,hovan,69.17,66.67,2,1,4,412208.15,0,0,1296374.62,0.318,0.0,1,3,0.0,0,301,https://polymarket.com/profile/0x7dc64a570c7b76831cf25e31c526f2337a050fa2
53,0x0c0df2184722450cc75654eadea16421ce724dd3,oblivioncapital,69.12,66.67,2,1,4,142992.66,0,0,1433234.21,0.0998,0.01,1,3,0.0,0,829,https://polymarket.com/profile/0x0c0df2184722450cc75654eadea16421ce724dd3
54,0xb237caf99c01ead5c7984e9b3d99b271079604a1,podgies,69.0,83.33,5,1,6,170441.94,0,0,540581.98,0.3153,0.01,1,6,0.0,0,720,https://polymarket.com/profile/0xb237caf99c01ead5c7984e9b3d99b271079604a1
55,0x56813812fc837eedb614d8c231787f83a865e113,setsukoworldchampion2027,68.9,77.78,14,4,29,1291734.8,0,0,10820687.42,0.1194,0.0,13,18,0.0,0,74,https://polymarket.com/profile/0x56813812fc837eedb614d8c231787f83a865e113
56,0x3d1ecf16942939b3603c2539a406514a40b504d0,edenmoon,68.55,72.22,13,5,20,1739111.97,18954.64,14460.86,6725649.13,0.2586,72027.5,3,18,24009.17,54.71,50,https://polymarket.com/profile/0x3d1ecf16942939b3603c2539a406514a40b504d0
57,0x60c58f40b05649f76b82b71b29200c20b9251c09,xxuoops,68.27,72.73,8,3,9,233898.88,0,0,1258531.42,0.1859,15.0,1,11,15.0,100.0,528,https://polymarket.com/profile/0x60c58f40b05649f76b82b71b29200c20b9251c09
58,0x0b0e9d2a53682baec053b9c6ef1e4f02a15878dd,HurricaneIvan,67.54,58.0,29,21,50,361150.35,0,0,4239016.93,0.0852,0.02,0,50,0,0,340,https://polymarket.com/profile/0x0b0e9d2a53682baec053b9c6ef1e4f02a15878dd
59,0xe4e2b203b9d50dacc3e640e319df8b999164f26c,Ch5,67.5,80.0,40,10,50,134071.9,0,0,637982.77,0.2101,0.0,0,50,0,0,877,https://polymarket.com/profile/0xe4e2b203b9d50dacc3e640e319df8b999164f26c
60,0xd008786fad743d0d5c60f99bff5d90ebc212135d,VOLVOLVOL,67.5,75.0,6,2,18,127649.98,0,0,739921.08,0.1725,34491.85,10,8,3449.18,68.86,915,https://polymarket.com/profile/0xd008786fad743d0d5c60f99bff5d90ebc212135d
61,0x8861f0bb5e0c19474ba73beeadc13ed8915beed6,yjcr,67.5,71.74,33,13,48,1016042.52,0,0,8264687.86,0.1229,72911.88,4,46,18227.94,70.54,93,https://polymarket.com/profile/0x8861f0bb5e0c19474ba73beeadc13ed8915beed6
62,0xaba06aaf3d1fe58bb5a5e4b17856599f8e9552ca,azzzzzzzzz,67.49,60.87,14,9,17,119027.76,0,0,1245010.66,0.0956,50.0,1,23,50.0,100.0,973,https://polymarket.com/profile/0xaba06aaf3d1fe58bb5a5e4b17856599f8e9552ca
63,0xbe195349beb0b8572991469ff9f64a3f1ef6eeb9,odsxii,66.81,51.52,17,16,22,138117.54,0,0,1643040.36,0.0841,0.0,4,33,0.0,0,854,https://polymarket.com/profile/0xbe195349beb0b8572991469ff9f64a3f1ef6eeb9
64,0x083c9431a63488e5b2ac93449b1c18e9fd023f02,yhxse,66.34,62.0,31,19,61,111844.75,0,0,1327998.05,0.0842,40.29,16,50,2.52,100.0,1022,https://polymarket.com/profile/0x083c9431a63488e5b2ac93449b1c18e9fd023f02
65,0x124f7b74916d41460dc3dfefa0e5ef4b14783661,Mlemnonny123,66.0,80.0,8,2,9,185751.39,0,0,621753.65,0.2988,0.01,0,10,0,0,668,https://polymarket.com/profile/0x124f7b74916d41460dc3dfefa0e5ef4b14783661
66,0xe55108581aec68af7686bd4cbc4f53ef93680a67,NeverYES,65.55,78.57,11,3,20,118040.36,0,0,847190.01,0.1393,66318.73,6,14,11053.1,46.76,979,https://polymarket.com/profile/0xe55108581aec68af7686bd4cbc4f53ef93680a67
67,0x38745db27f7360a287f6ca3c9b6a6a9c76149801,Planktonbets,65.5,50.0,2,2,7,173906.68,0,0,255055.3,0.6818,0.0,3,4,0.0,0,711,https://polymarket.com/profile/0x38745db27f7360a287f6ca3c9b6a6a9c76149801
68,0x0afc7ce56285bde1fbe3a75efaffdfc86d6530b2,Rundeep,65.5,85.71,6,1,7,154219.37,0,0,507793.46,0.3037,0.02,0,7,0,0,785,https://polymarket.com/profile/0x0afc7ce56285bde1fbe3a75efaffdfc86d6530b2
69,0xf9f5581d4d7a599b8e2f8d1b1b0e29ca0218227a,Alhambra1,65.5,50.0,2,2,7,719016.98,0,0,2449451.96,0.2935,0.0,3,4,0.0,0,154,https://polymarket.com/profile/0xf9f5581d4d7a599b8e2f8d1b1b0e29ca0218227a
70,0x88be0553c9de90db290d925c51a8f1062be2652d,chachakk,65.14,57.14,4,3,7,125878.87,0,0,402527.77,0.3127,0.0,0,7,0,0,921,https://polymarket.com/profile/0x88be0553c9de90db290d925c51a8f1062be2652d
71,0x67327ef4880d4050ead195ca23203c61d8c1d7f0,latinalover77,65,87.5,7,1,11,172906.42,0,0,386883.86,0.4469,1897.43,3,8,632.47,95.99,715,https://polymarket.com/profile/0x67327ef4880d4050ead195ca23203c61d8c1d7f0
72,0x25e64cd559e8c46a888d8ebfa47d4490e810cc9f,lsck,65,50.0,6,6,12,624754.3,0,0,1787005.22,0.3496,0.03,0,12,0,0,186,https://polymarket.com/profile/0x25e64cd559e8c46a888d8ebfa47d4490e810cc9f
